Model,Train_R2,Test_R2,Test_RMSE,Test_MAE,Test_MAPE
Linear Regression,0.9999561115956291,0.9999423111117922,0.17147227536095375,0.134962854206662,0.07289191459197944
Random Forest,0.9991589270859206,0.3791086131882163,17.789168294754095,8.76938581612292,3.9856053366357163
XGBoost,0.9995126811460467,0.2749044301824979,19.22407499466979,9.922449723329466,4.5468243765825935
