Model,Baseline_R2,Enhanced_R2,R2_Improvement_%,Baseline_RMSE,Enhanced_RMSE,RMSE_Improvement_%
Linear Regression,0.9999423111117922,0.9997795185073095,-0.01628019963488762,0.1714722753609537,0.33298432546420825,-94.19134945475437
Random Forest,0.3791086131882163,0.34442713995320606,-9.148162829471753,17.789168294754095,18.15717181807784,-2.0686943719131885
XGBoost,0.2749044301824979,0.3118662501046331,13.445334401340043,19.22407499466979,18.602621491441134,3.232683514816533
