Date,sp500 open,sp500 high,sp500 low,sp500 close,sp500 volume,sp500 high-low,nasdaq open,nasdaq high,nasdaq low,nasdaq close,nasdaq volume,nasdaq high-low,us_rates_%,CPI,usd_chf,eur_usd,GDP,silver open,silver high,silver low,silver close,silver volume,silver high-low,oil open,oil high,oil low,oil close,oil volume,oil high-low,platinum open,platinum high,platinum low,platinum close,platinum volume,platinum high-low,palladium open,palladium high,palladium low,palladium close,palladium volume,palladium high-low,gold open,gold high,gold low,gold close,gold volume,gold_sma_10,gold_sma_20,gold_sma_50,gold_sma_200,gold_ema_10,gold_ema_20,gold_rsi_14,gold_rsi_7,gold_macd,gold_macd_signal,gold_macd_diff,gold_bb_upper,gold_bb_lower,gold_bb_width,gold_returns,gold_log_returns,gold_volatility_10,gold_volatility_30,gold_momentum_5,gold_momentum_10,gold_lag_1,gold_lag_2,gold_lag_3,gold_lag_5,gold_lag_7,gold_lag_10,gold_rolling_mean_5,gold_rolling_std_5,gold_rolling_min_5,gold_rolling_max_5,gold_rolling_mean_10,gold_rolling_std_10,gold_rolling_min_10,gold_rolling_max_10,gold_rolling_mean_20,gold_rolling_std_20,gold_rolling_min_20,gold_rolling_max_20,gold_rolling_mean_30,gold_rolling_std_30,gold_rolling_min_30,gold_rolling_max_30,silver_sma_20,silver_sma_50,silver_rsi_14,silver_returns,silver_volatility_20,silver_lag_1,silver_lag_2,silver_lag_3,silver_lag_5,silver_rolling_mean_10,silver_rolling_mean_20,platinum_sma_20,platinum_rsi_14,platinum_returns,platinum_volatility_20,platinum_lag_1,platinum_lag_2,platinum_lag_3,palladium_sma_20,palladium_rsi_14,palladium_returns,palladium_volatility_20,palladium_lag_1,palladium_lag_2,palladium_lag_3,oil_sma_20,oil_sma_50,oil_rsi_14,oil_returns,oil_volatility_20,oil_lag_1,oil_lag_2,oil_lag_3,oil_lag_5,oil_rolling_mean_10,oil_rolling_mean_20,sp500_sma_20,sp500_sma_50,sp500_sma_200,sp500_rsi_14,sp500_returns,sp500_volatility_20,sp500_above_sma50,sp500_above_sma200,sp500_lag_1,sp500_lag_2,sp500_lag_3,sp500_lag_5,nasdaq_sma_20,nasdaq_sma_50,nasdaq_rsi_14,nasdaq_returns,nasdaq_volatility_20,nasdaq_lag_1,nasdaq_lag_2,nasdaq_lag_3,eur_usd_returns,eur_usd_sma_20,eur_usd_volatility,eur_usd_lag_1,eur_usd_lag_2,eur_usd_lag_3,eur_usd_lag_5,usd_chf_returns,usd_chf_sma_20,usd_chf_lag_1,usd_chf_lag_2,usd_chf_lag_3,usd_strength,cpi_change,cpi_lag_1,cpi_lag_3,rates_change,rates_lag_1,gdp_change,gdp_lag_1,gold_silver_ratio,gold_silver_ratio_sma,gold_silver_ratio_deviation,gold_platinum_ratio,gold_palladium_ratio,gold_sp500_ratio,gold_nasdaq_ratio,gold_oil_ratio,gold_silver_corr,gold_sp500_corr,gold_oil_corr,precious_metals_spread,market_fear_index,risk_regime,high_volatility_regime,gold_trend_strength,market_stress,year,month,quarter,day_of_week,day_of_month,week_of_year,month_sin,month_cos,day_sin,day_cos,is_month_end,is_month_start,is_quarter_end
2010-10-18,117.74,118.67,117.31,118.28,141416390.0,1.3599999999999994,51.52,51.72,51.3,51.3,72399400.0,0.4200000000000017,0.19,219.035,0.9558,1.3978,15309.474,24.03,24.42,23.95,24.4,312397.0,0.4700000000000024,35.6,36.28,35.48,36.28,8235434.0,0.8000000000000043,167.94,168.93,167.5,168.93,30700.0,1.4300000000000068,57.94,59.035,57.73,59.035,121397.0,1.3049999999999995,133.46,134.34,133.16,134.28,12286205.0,132.58620000000002,129.94310000000002,124.75977,116.544385,132.4512293814003,130.26386642002524,74.55323048724615,79.11826035150442,2.812880468510656,2.5750077664953466,0.2378727020153093,135.91997494123544,123.96622505876458,11.95374988247086,0.4488330341112956,0.004478287824695752,0.9645622576540133,0.7276251571886649,1.9879999999999995,5.819999999999993,133.68,134.75,134.07,132.292,130.37,128.46,133.748,1.0714802844683657,131.96,134.75,132.58620000000002,1.5036052821268306,130.37,134.75,129.94310000000002,2.9884374706177157,126.01,134.75,127.70628333333333,4.091936401238943,121.56,134.75,22.503999999999998,20.511042000000003,76.57480314960628,0.8264462809917328,1.582107631944058,24.2,24.49,23.93,23.22,23.494,22.503999999999998,166.649595,64.6073036518259,-0.06802922298795311,0.874262896211922,169.045,170.535,169.88,57.13494999999999,64.60961635948004,0.5022131426625664,1.520474414112769,58.74,59.95,59.12,34.8435,33.91198,71.19341563786013,2.2836199605300367,1.5320709038771847,35.47,36.0,36.16,35.6,35.914,34.8435,115.50700000000002,111.86939999999998,112.1768,73.65661861074693,0.49277824978759543,0.7710954197096386,1,1,117.7,117.46,117.92,116.65,49.6055,47.211188,68.73786407766985,-0.3690036900369065,0.9665798794406114,51.49,50.42,50.52,-0.14287755393627144,1.372285,0.663998026459685,1.3998,1.4066,1.3964,1.3923,-0.041832252666818004,0.97094,0.9562,0.953,0.9588,0.14287755393627144,0.0,219.035,219.035,0.0,0.19,0.0,15309.474,5.50327868852459,5.782176323081066,-0.27889763455647554,0.7948854555141183,2.2745828745659358,1.1352722353736895,2.617543859649123,3.701212789415656,0.8688099165509046,0.2387299449410827,0.2564299356410742,0.42736580869441043,0.7710954197096386,0,0,0.2378727020153093,0.5068793485343919,2010,10,4,0,18,42,-0.8660254037844386,0.5000000000000001,0.0,1.0,0,0,0
2010-10-19,117.19,117.85,116.02,116.73,280331815.0,1.8299999999999983,50.74,51.3,50.42,50.82,105739800.0,0.8799999999999955,0.19,219.035,0.9702,1.3827,15309.474,23.54,23.9,23.18,23.27,550252.0,0.7199999999999989,35.22,35.53,34.56,34.62,14629060.0,0.9699999999999988,166.21,167.57,165.56,165.56,176800.0,2.009999999999991,57.0,58.125,56.67,56.67,278901.0,1.4549999999999983,130.46,131.59,129.75,130.11,25301949.0,132.49820000000003,130.1481,125.00737,116.63478500000001,132.0255513120548,130.24921247526092,56.29223957119557,41.922034604961496,2.455354985595875,2.5510772103154524,-0.09572222471957748,135.8309919954183,124.46520800458171,11.365783990836576,-3.1054512957998104,-0.031546925596449504,1.338015175002397,0.956303865245066,-1.8499999999999943,-0.8799999999999955,134.28,133.68,134.75,131.96,131.66,130.99,133.378,1.8672091473651997,130.11,134.75,132.49820000000003,1.62800940483079,130.11,134.75,130.1481,2.8414459977091404,126.2,134.75,127.95328333333333,4.001978273053376,121.56,134.75,22.618499999999997,20.610442000000003,62.029459901800315,-4.631147540983605,1.9890317418148205,24.4,24.2,24.49,23.27,23.546,22.618499999999997,166.8201,53.24529991047445,-1.9949091339608094,1.0046755685675361,168.93,169.045,170.535,57.30114999999999,49.83457676465237,-4.006098077411702,1.8218544309266773,59.035,58.74,59.95,34.94199999999999,33.88698,54.146341463414636,-4.575523704520412,1.8465015269954312,36.28,35.47,36.0,35.65,35.767,34.94199999999999,115.64450000000002,111.95640000000002,112.1858,62.583518930957666,-1.3104497801826098,0.8368896520417644,1,1,118.28,117.7,117.46,117.01,49.705499999999994,47.294138,63.78378378378376,-0.9356725146198785,1.001177471002526,51.3,51.49,50.42,-1.0802689941336263,1.37574,0.7343375044905259,1.3978,1.3998,1.4066,1.3846,1.5065913370998052,0.9692599999999999,0.9558,0.9562,0.953,1.0802689941336263,0.0,219.035,219.035,0.0,0.19,0.0,15309.474,5.59131929522991,5.761432468967444,-0.17011317373753343,0.7858782314568737,2.295923769190048,1.1146234901053715,2.5602125147579695,3.758232235701907,0.9320167447183975,0.44597649351622315,0.5203965524185875,-3.4344015120389817,0.8368896520417644,0,1,0.09572222471957748,0.6246076953481277,2010,10,4,1,19,42,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,0,0,0
2010-10-20,116.94,118.44,116.87,117.87,199776327.0,1.5699999999999932,50.96,51.57,50.87,51.19,80861400.0,0.7000000000000028,0.19,219.035,0.9615,1.3949,15309.474,23.45,23.849,23.43,23.77,306016.0,0.4190000000000005,34.7,35.68,34.69,35.59,9751589.0,0.990000000000002,166.18,167.89,166.12,167.44,55300.0,1.7699999999999818,57.75,58.75,57.722,58.54,265188.0,1.0279999999999987,130.36,131.65,130.32,131.32,12541076.0,132.4492,130.40410000000003,125.28697,116.73708500000001,131.89726925531755,130.3511922395218,59.299661830478925,45.22217852929604,2.243785390883801,2.4896188464291225,-0.24583345554532166,135.79175895454946,125.0164410454506,10.77531790909886,0.929982322650047,0.00925684611800718,1.358607441200404,0.9646969924755687,-2.75,-0.4900000000000091,130.11,134.28,133.68,134.07,132.292,131.81,132.828,2.011832497998803,130.11,134.75,132.4492,1.658120006377961,130.11,134.75,130.40410000000003,2.693829477274713,126.3,134.75,128.24028333333334,3.9209022705536447,121.56,134.75,22.752000000000002,20.729042,65.89861751152074,2.1486892995272955,2.0214232839886574,23.27,24.4,24.2,23.93,23.612,22.752000000000002,167.06885,55.20627841152756,1.135539985503753,1.030596556725101,165.56,168.93,169.045,57.50865,57.923581458819385,3.2998058937709462,1.9081138809521216,56.67,59.035,58.74,35.0925,33.903980000000004,54.53446191051996,2.8018486424032485,1.9230344987484624,34.62,36.28,35.47,36.16,35.698,35.0925,115.867,112.12780000000001,112.20694999999999,69.12065439672801,0.9766126959650512,0.8445510295536912,1,1,116.73,118.28,117.7,117.92,49.8305,47.40993799999999,68.59649122807012,0.7280598189689069,1.0011961268279226,50.82,51.3,51.49,0.882331669921177,1.3785599999999998,0.6450260596453298,1.3827,1.3978,1.3998,1.3964,-0.8967223252937417,0.9680099999999999,0.9702,0.9558,0.9562,-0.882331669921177,0.0,219.035,219.035,0.0,0.19,0.0,15309.474,5.524610854017669,5.738610878966904,-0.2140000249492351,0.7842809364548494,2.2432524769388453,1.1141087638924239,2.5653447939050595,3.6898005057600445,0.9346736296975883,0.4673381349050955,0.5399925001928109,1.8785043753630104,0.8445510295536912,0,1,0.24583345554532166,0.655584786312328,2010,10,4,2,20,42,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,0,0,0
2010-10-21,118.4,119.09,117.21,118.13,221423812.0,1.8800000000000097,51.51,51.7101,50.79,51.29,85885400.0,0.920099999999998,0.19,219.035,0.9642,1.3973,15309.474,23.76,23.91,22.95,23.025,455296.0,0.9600000000000009,35.41,35.64,34.61,34.85,9107519.0,1.0300000000000011,167.78,168.386,165.6,167.02,49100.0,2.7860000000000014,59.26,59.67,57.9,58.6,246500.0,1.7700000000000031,131.08,131.59,128.72,129.47,21802611.0,132.35920000000002,130.5626,125.50097,116.83013500000001,131.45594757253252,130.26726916909115,51.459549624687256,39.34987168520093,1.9048771854440076,2.3726705142320994,-0.46779332878809177,135.61816678690457,125.50703321309545,10.111133573809113,-1.4087724642095623,-0.014187898562836006,1.3894523348409975,0.9879484037187605,-5.280000000000001,-0.9000000000000057,131.32,130.11,134.28,134.75,131.96,130.37,131.772,2.1328548942681804,129.47,134.28,132.35920000000002,1.8017219417964783,129.47,134.75,130.5626,2.5277833934522778,126.69,134.75,128.50395,3.716835779656392,121.62,134.75,22.85025,20.828942,57.06010137581462,-3.134202776609174,2.1839678783515155,23.77,23.27,24.4,24.49,23.6715,22.85025,167.24585,48.82242110221385,-0.2508361204013321,1.0282297130100302,167.44,165.56,168.93,57.67925,55.67997403440441,0.10249402118209794,1.8917337044448361,58.54,56.67,59.035,35.201499999999996,33.92258,45.25547445255473,-2.079235740376517,2.0052826768895575,35.59,34.62,36.28,36.0,35.637,35.201499999999996,116.14850000000001,112.3178,112.2294,68.41004184100413,0.22058199711545434,0.8106251514091153,1,1,117.87,116.73,118.28,117.46,49.961499999999994,47.53493799999999,69.86062717770034,0.19535065442468635,0.9989046077977638,51.19,50.82,51.3,0.17205534446913529,1.381705,0.6336991558967645,1.3949,1.3827,1.3978,1.4066,0.2808112324492962,0.967005,0.9615,0.9702,0.9558,-0.17205534446913529,0.0,219.035,219.035,0.0,0.19,0.0,15309.474,5.6230184581976115,5.719904252019235,-0.09688579382162388,0.7751766255538258,2.2093856655290103,1.095995936679929,2.5242737375706765,3.71506456241033,0.9393822928188938,0.46961939013206383,0.5655179057317642,-1.1728293350094925,0.8106251514091153,1,1,0.46779332878809177,0.5995462658376765,2010,10,4,3,21,42,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,0,0,0
2010-10-22,118.31,118.53,118.0,118.35,108136870.0,0.5300000000000011,51.3,51.69,51.21,51.64,47406900.0,0.4799999999999969,0.19,219.035,0.9792,1.3904,15309.474,23.09,23.2,22.98,23.2,164657.0,0.2199999999999988,35.13,35.49,34.85,35.49,7022446.0,0.6400000000000006,166.48,166.88,166.17,166.87,30900.0,0.710000000000008,58.26,59.0,58.19,58.87,117508.0,0.8100000000000023,129.47,129.75,128.97,129.73,11884338.0,132.1662,130.7146,125.72077000000002,116.92118500000001,131.14213892298113,130.21610067679677,53.34316099820993,27.94715447154458,1.6383835522881327,2.225813121843306,-0.5874295695551734,135.4527586652256,125.97644133477439,9.476317330451195,0.20081872248396415,0.0020061735123650675,1.3449016791098485,0.987850972390869,-3.950000000000017,-1.9300000000000068,129.47,131.32,130.11,133.68,134.07,131.66,130.98200000000003,1.9751632843902907,129.47,134.28,132.1662,1.9795380942689706,129.47,134.75,130.7146,2.3690793326128023,126.72,134.75,128.77061666666665,3.4944026416727367,121.62,134.75,22.939249999999998,20.931642,59.12356321839081,0.7600434310532034,2.165849734746281,23.025,23.77,23.27,24.2,23.6775,22.939249999999998,167.37435,51.43920595533501,-0.08980960364028956,1.0249406114025619,167.02,167.44,165.56,57.82574999999999,62.39597332242636,0.4607508532423088,1.8761935173199096,58.6,58.54,56.67,35.306,33.95658,49.43310657596371,1.8364418938306981,1.9874155569589518,34.85,35.59,34.62,35.47,35.571,35.306,116.325,112.51859999999999,112.24584999999999,75.78475336322862,0.18623550325911342,0.6890099883394916,1,1,118.13,117.87,116.73,117.7,50.0605,47.673338,78.41726618705034,0.6823942288945339,0.915293904325674,51.29,51.19,50.82,-0.49380948973019034,1.383845,0.6272236588899422,1.3973,1.3949,1.3827,1.3998,1.555693839452399,0.966825,0.9642,0.9615,0.9702,0.49380948973019034,0.0,219.035,219.035,0.0,0.19,0.0,15309.474,5.591810344827586,5.703766477944088,-0.11195613311650199,0.7774315335290944,2.203669101409886,1.096155471060414,2.512199845081332,3.6553958861651163,0.939097020278694,0.4718829395273069,0.5792300140153211,0.3329508507847967,0.6890099883394916,0,1,0.5874295695551734,0.5732044835915128,2010,10,4,4,22,42,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0,0,0
2010-10-25,119.14,119.76,118.61,118.7,150911529.0,1.1500000000000057,51.85,52.23,51.85,51.89,51413900.0,0.3799999999999954,0.19,219.035,0.9711,1.3986,15309.474,23.65,23.716,23.35,23.53,223883.0,0.3659999999999996,35.86,35.98,35.2,35.57,7559005.0,0.779999999999994,169.04,169.36,168.4,168.83,42400.0,0.960000000000008,60.76,61.08,60.04,60.96,213826.0,1.0399999999999991,131.16,131.38,130.21,130.85,12151180.0,132.022,130.9211,125.94317,117.030735,131.08902275516638,130.27647204091136,49.60191082802544,31.031128404669133,1.5002659359718393,2.080703684669013,-0.5804377486971735,135.27025260469873,126.57194739530127,8.69830520939746,0.8633315347259751,0.008596261393233872,1.3697482329435025,0.9929464990223463,-3.430000000000007,-1.4420000000000073,129.73,129.47,131.32,134.28,134.75,132.292,130.296,0.7734209720476923,129.47,131.32,132.022,2.0214340344297526,129.47,134.75,130.9211,2.174576302349366,127.85,134.75,129.07828333333333,3.2401968748282424,123.94,134.75,23.04575,21.035442000000003,56.027820710973735,1.4224137931034608,2.173361173029891,23.2,23.025,23.77,24.4,23.708499999999997,23.04575,167.68985,49.11596463858561,1.1745670282255594,1.014043427955527,166.87,167.02,167.44,58.128750000000004,63.13420621931262,3.550195345676932,1.941513779127618,58.87,58.6,58.54,35.4225,33.995779999999996,46.904761904761884,0.22541561003099897,1.978679675227585,35.49,34.85,35.59,36.28,35.568,35.4225,116.5465,112.72740000000002,112.26989999999999,69.05444126074491,0.295732995352771,0.6731582811816781,1,1,118.35,118.13,117.87,118.28,50.185500000000005,47.815138,74.08207343412526,0.4841208365607974,0.9000901994126812,51.64,51.29,51.19,0.589758342922897,1.3864,0.6331050974000015,1.3904,1.3973,1.3949,1.3978,-0.8272058823529438,0.966225,0.9792,0.9642,0.9615,-0.589758342922897,0.0,219.035,219.035,0.0,0.19,0.0,15309.474,5.560985975350616,5.6857410103564785,-0.1247550350058626,0.7750399810460226,2.146489501312336,1.102358887952822,2.5216804779340913,3.678661793646331,0.9416127114516444,0.49803103710240715,0.5817773777676042,1.7526269254329818,0.6731582811816781,0,1,0.5804377486971735,0.5777630839256922,2010,10,4,0,25,43,-0.8660254037844386,0.5000000000000001,0.0,1.0,0,0,0
2010-10-26,118.1,118.84,117.87,118.72,158887883.0,0.9699999999999988,51.62,52.15,51.42,52.03,60498300.0,0.7299999999999969,0.19,219.035,0.9824,1.3873,15309.474,23.19,23.86,23.14,23.72,422580.0,0.7199999999999989,35.45,35.8181,35.37,35.68,4902703.0,0.4481000000000037,168.62,169.75,168.13,169.6,25300.0,1.6200000000000043,60.55,62.5,60.24,62.482,308930.0,2.259999999999998,129.99,131.14,129.73,130.88,10689840.0,131.914,131.07260000000002,126.16577,117.148285,131.0510186178634,130.3339508941579,47.23115398356553,34.848484848484716,1.3773502430064184,1.9400329963364942,-0.5626827533300758,135.17543211042403,126.96976788957602,8.205664220848007,0.022927015666796002,0.00022924387828208046,1.3691549194076382,0.9382878395640041,0.7699999999999818,-1.0800000000000125,130.85,129.73,129.47,130.11,133.68,131.96,130.45,0.8032123007046502,129.47,131.32,131.914,2.0537077580685548,129.47,134.75,131.07260000000002,2.051416055211998,127.91,134.75,129.30681666666666,3.1106101865187723,123.94,134.75,23.14675,21.140442000000004,54.84126984126984,0.8074798130046634,2.1643982448028227,23.53,23.2,23.025,23.27,23.753499999999995,23.14675,168.01535,46.559257236482736,0.45608008055439964,1.0151651192760123,168.83,166.87,167.02,58.453845,64.50520012606368,2.4967191601049876,1.965416130904262,60.96,58.87,58.6,35.547000000000004,34.031980000000004,46.39423076923077,0.3092493674444752,1.975129278804126,35.57,35.49,34.85,34.62,35.571,35.547000000000004,116.749,112.91,112.305,69.24177396280396,0.01684919966300491,0.6731771251241333,1,1,118.7,118.35,118.13,116.73,50.3185,47.948297999999994,82.258064516129,0.2698015031798118,0.8974714649634523,51.89,51.64,51.29,-0.8079508079508191,1.38785,0.6530187058020717,1.3986,1.3904,1.3973,1.3827,1.1636288744722556,0.9665649999999999,0.9711,0.9792,0.9642,0.8079508079508191,0.0,219.035,219.035,0.0,0.19,0.0,15309.474,5.517706576728499,5.667041085736682,-0.1493345090081828,0.7716981132075472,2.094683268781409,1.1024258760107817,2.5154718431674032,3.6681614349775784,0.9456083418844542,0.5494775824284126,0.6375213706253324,0.9458015173327117,0.6731771251241333,0,1,0.5626827533300758,0.5700330501093225,2010,10,4,1,26,43,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,0,0,0
2010-10-27,117.89,118.51,117.26,118.38,189872039.0,1.25,51.8589,52.23,51.66,52.19,57483400.0,0.5700000000000003,0.19,219.035,0.9893,1.3788,15309.474,23.59,23.608,23.28,23.51,202222.0,0.3279999999999994,35.31,35.48,34.79,35.42,8212834.0,0.6899999999999977,168.98,168.98,166.7,167.15,103600.0,2.280000000000001,62.44,62.67,61.0,61.536,242934.0,1.6700000000000017,129.93,130.0,128.79,129.52,16116771.0,131.459,131.15109999999999,126.35177000000002,117.260035,130.7726515964337,130.25643176138095,47.457221490965665,26.199999999999918,1.1568624466032134,1.783398886389838,-0.6265364397866247,135.057762050774,127.24443794922597,7.8133241015480195,-1.0391198044009675,-0.010445563485057128,1.2609491844102585,0.9636844841292564,-1.799999999999983,-4.549999999999983,130.88,130.85,129.73,131.32,134.28,134.07,130.09,0.7142478561417774,129.47,130.88,131.459,2.0268226365411257,129.47,134.75,131.15109999999999,1.9533310253870073,127.91,134.75,129.49281666666667,2.9408292417320183,124.5425,134.75,23.23225,21.243442,59.262435677530036,-0.8853288364249479,2.185475320697775,23.72,23.53,23.2,23.77,23.7115,23.23225,168.16735,45.539529914529936,-1.4445754716981063,1.0734431418815016,169.6,168.83,166.87,58.695145000000004,61.3350314653881,-1.5140360423802068,2.0104711691434773,62.482,60.96,58.87,35.620999999999995,34.06678,49.74226804123712,-0.7286995515695005,1.9382170888430883,35.68,35.57,35.49,35.59,35.497,35.620999999999995,116.94449999999999,113.0818,112.35085000000001,67.31571627260078,-0.28638814016173075,0.6766998965425041,1,1,118.72,118.7,118.35,117.87,50.463499999999996,48.08109799999999,82.17592592592588,0.30751489525273623,0.8917937769094524,52.03,51.89,51.64,-0.6127009298637631,1.3885999999999998,0.6681124519417436,1.3873,1.3986,1.3904,1.3949,0.7023615635179059,0.9672699999999999,0.9824,0.9711,0.9792,0.6127009298637631,0.0,219.035,219.035,0.0,0.19,0.0,15309.474,5.509145044661846,5.649035035217481,-0.139889990555635,0.7748728686808256,2.104784191367655,1.0941037337388073,2.4817014753784252,3.6566911349520046,0.945302403684109,0.5606008376031864,0.6402223198745562,-1.2207650387260571,0.6766998965425041,0,1,0.6265364397866247,0.5748254731764778,2010,10,4,2,27,43,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,0,0,0
2010-10-28,119.06,119.11,117.83,118.4,168414804.0,1.2800000000000011,52.42,52.45,51.84,52.3,61220000.0,0.6099999999999994,0.19,219.035,0.9834,1.3929,15309.474,23.67,23.914,23.5,23.87,256327.0,0.4140000000000015,35.66,35.67,35.225,35.39,5150359.0,0.4450000000000003,167.72,168.58,167.24,168.52,38600.0,1.3400000000000034,62.71,62.9028,62.3,62.72,458332.0,0.602800000000002,130.36,131.5,129.84,131.24,15888662.0,131.108,131.31760000000003,126.56877,117.378835,130.85762403344575,130.35010492696372,48.775081661222615,57.483443708609286,1.1081399571522468,1.6483471005423198,-0.540207143390073,134.91418518744337,127.72101481255669,7.193170374886677,1.327980234712789,0.013192398723521225,1.3458894265101158,0.984923353263633,1.7700000000000102,-3.509999999999991,129.52,130.88,130.85,129.47,130.11,134.75,130.44400000000002,0.766831141779757,129.52,131.24,131.108,1.6652447267580872,129.47,134.28,131.31760000000003,1.7982925937216658,128.46,134.75,129.71315,2.808577272515896,124.5425,134.75,23.34075,21.355241999999997,56.66058394160585,1.5312632922160674,2.1895647812551156,23.51,23.72,23.53,23.025,23.6495,23.34075,168.34275,47.203521491455234,0.8196230930302084,1.0811015312982888,167.15,169.6,168.83,59.012145,64.97711829149911,1.9240769630785248,2.022248970928817,61.536,62.482,60.96,35.6485,34.10958,44.64788732394368,-0.08469791078486999,1.8530997112020073,35.42,35.68,35.57,34.85,35.436,35.6485,117.15799999999999,113.29220000000001,112.39399999999999,64.17682926829264,0.016894745734075123,0.6688869345179477,1,1,118.38,118.72,118.7,118.13,50.625,48.229898000000006,81.17359413202928,0.21076834642652642,0.875187494574945,52.19,52.03,51.89,1.0226283724978247,1.39024,0.6967029635111905,1.3788,1.3873,1.3986,1.3973,-0.5963812796927037,0.9673999999999999,0.9893,0.9824,0.9711,-1.0226283724978247,0.0,219.035,219.035,0.0,0.19,0.0,15309.474,5.498114788437369,5.629217272335202,-0.1311024838978332,0.7787799667695229,2.0924744897959187,1.108445945945946,2.5093690248565967,3.708392201186776,0.9406736640166194,0.5445678461247544,0.6433938462075367,1.4007358957593974,0.6688869345179477,0,1,0.540207143390073,0.5641857881516713,2010,10,4,3,28,43,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,0,0,0
2010-10-29,118.28,118.72,118.07,118.49,144175222.0,0.6500000000000057,52.29,52.49,52.1698,52.18,46668700.0,0.3201999999999998,0.19,219.035,0.985,1.3894,15309.474,24.02,24.63,23.94,24.63,640846.0,0.6899999999999977,35.28,35.4,34.81,35.17,6039370.0,0.5899999999999963,169.09,169.76,168.691,169.48,45800.0,1.0689999999999884,63.68,64.53,63.34,64.48,279166.0,1.1899999999999975,131.48,132.82,131.06,132.62,14334824.0,131.002,131.5031,126.82177,117.50413499999999,131.1780560273647,130.56628541011003,50.91661077576572,58.41968911917109,1.1674241610621436,1.5521625126462848,-0.38473835158414116,134.95669528302867,128.0495047169713,6.907190566057352,1.0515086863760903,0.010460187847820537,1.3896375200261293,0.9964345921939276,2.890000000000015,-1.0600000000000023,131.24,129.52,130.88,129.73,131.32,133.68,131.022,1.1075739252995405,129.52,132.62,131.002,1.5098182377712732,129.47,134.28,131.5031,1.7267976415143325,128.46,134.75,129.9824,2.6800306946266805,124.87,134.75,23.469749999999998,21.489242000000004,61.44480519480521,3.1839128613322165,2.2586581679119897,23.87,23.51,23.72,23.2,23.692500000000003,23.469749999999998,168.44075,54.503651609413026,0.5696653216235248,1.0358493096070573,168.52,167.15,169.6,59.379645000000004,68.53351607276353,2.8061224489795977,2.078231104414842,62.72,61.536,62.482,35.6255,34.15398,46.82422451994092,-0.6216445323537712,1.7862152490214784,35.39,35.42,35.68,35.49,35.406,35.6255,117.352,113.5114,112.4399,64.06727828746168,0.07601351351349539,0.6669600863819029,1,1,118.4,118.38,118.72,118.35,50.7835,48.375098,78.75894988066824,-0.2294455066921608,0.8783786875667187,52.3,52.19,52.03,-0.2512743197645273,1.39094,0.6593452175912367,1.3929,1.3788,1.3873,1.3904,0.1627008338417557,0.9678450000000002,0.9834,0.9893,0.9824,0.2512743197645273,0.0,219.035,219.035,0.0,0.19,0.0,15309.474,5.3844904587900935,5.606128870104639,-0.22163841131454554,0.7825112107623319,2.056761786600496,1.1192505696683266,2.5415868148715983,3.7708274097241965,0.93850683457935,0.5336278529752827,0.6172379929837555,1.9028023295778573,0.6669600863819029,0,1,0.38473835158414116,0.603063650074481,2010,10,4,4,29,43,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0,0,0
