Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,EMA_20,RSI_14,MACD,MACD_Signal,MACD_Diff,Close_Lag_1,Volume_Lag_1,Close_Lag_2,Volume_Lag_2,Close_Lag_3,Volume_Lag_3,Close_Lag_5,Volume_Lag_5,Close_Lag_7,Volume_Lag_7,Rolling_Mean_7,Rolling_Std_7,Rolling_Min_7,Rolling_Max_7,Rolling_Mean_14,Rolling_Std_14,Rolling_Min_14,Rolling_Max_14,Rolling_Mean_30,Rolling_Std_30,Rolling_Min_30,Rolling_Max_30,Year,Month,Day,DayOfWeek,Quarter,Month_Sin,Month_Cos
2010-03-26,107.16,108.7,106.82,108.59,17433561.0,109.15240000000001,108.38592,108.54890734183881,45.28163862472571,-0.32667706421851506,-0.09898811090414161,-0.22768895331437344,106.78,16863466.0,106.3,14235437.0,108.32,11273395.0,108.28,24328131.0,109.59,13784291.0,108.05142857142857,1.3182618426224284,106.3,110.34,108.53200000000001,1.1908525711244415,106.3,110.4,109.01559999999999,1.314819027798887,106.3,111.63,2010,3,26,4,1,1.0,6.123233995736766e-17
2010-03-29,108.87,109.17,108.4,108.75,11526946.0,109.1184,108.32032000000001,108.56805902356845,46.45888206028678,-0.2675418931515736,-0.13269886735362801,-0.1348430257979456,108.59,17433561.0,106.78,16863466.0,106.3,14235437.0,107.75,11579075.0,110.34,13848221.0,107.82428571428571,0.9412909069084553,106.3,108.75,108.46285714285715,1.143869469230302,106.3,110.4,109.0726,1.2622339419211752,106.3,111.63,2010,3,29,0,1,1.0,6.123233995736766e-17
2010-03-30,108.57,108.6615,107.87,107.97,9816459.0,108.96589999999999,108.26251999999998,108.51110102132384,48.1060606060606,-0.2803842304278703,-0.16223593996847646,-0.11814829045939385,108.75,11526946.0,108.59,17433561.0,106.78,16863466.0,108.32,11273395.0,108.28,24328131.0,107.78,0.9233995162802684,106.3,108.75,108.42714285714285,1.1514100290274132,106.3,110.4,109.0176,1.2734575687121603,106.3,111.63,2010,3,30,1,1,1.0,6.123233995736766e-17
2010-03-31,109.44,109.5,108.85,108.95,13996074.0,108.83189999999999,108.21112000000001,108.5529009240549,51.24555160142352,-0.20907399062521392,-0.17160355009982398,-0.03747044052538995,107.97,9816459.0,108.75,11526946.0,108.59,17433561.0,106.3,14235437.0,107.75,11579075.0,107.95142857142856,1.0229276379006167,106.3,108.95,108.45214285714287,1.1592250632438033,106.3,110.4,109.0076,1.2727473839879688,106.3,111.63,2010,3,31,2,1,1.0,6.123233995736766e-17
2010-04-01,109.97,110.47,109.92,110.26,11370417.0,108.80339999999998,108.23751999999999,108.71548178843062,57.85180149558124,-0.04632011054478369,-0.14654686218881594,0.10022675164403225,108.95,13996074.0,107.97,9816459.0,108.75,11526946.0,106.78,16863466.0,108.32,11273395.0,108.22857142857141,1.3499559075691918,106.3,110.26,108.61714285714287,1.243583089744608,106.3,110.4,109.01693333333334,1.2811231853697347,106.3,111.63,2010,4,1,3,2,0.8660254037844387,-0.4999999999999998
2010-04-05,110.56,110.9837,110.27,110.89,8207564.0,108.8074,108.30792,108.92257876096104,58.472873409243135,0.1319778879289828,-0.0908419121652562,0.222819800094239,110.26,11370417.0,108.95,13996074.0,107.97,9816459.0,108.59,17433561.0,106.3,14235437.0,108.88428571428572,1.3716396166979463,106.78,110.89,108.79785714285715,1.379716685362603,106.3,110.89,109.06426666666667,1.3239559043946842,106.3,111.63,2010,4,5,0,2,0.8660254037844387,-0.4999999999999998
2010-04-06,110.89,111.51,110.83,111.03,10321993.0,108.86489999999999,108.38511999999999,109.12328554563142,52.41749808135071,0.2813341216286176,-0.01640670540648144,0.297740827035099,110.89,8207564.0,110.26,11370417.0,108.95,13996074.0,108.75,11526946.0,106.78,16863466.0,109.49142857142859,1.2168323435794504,107.97,111.03,108.84285714285714,1.4447327598045874,106.3,111.03,109.12960000000001,1.3717461713526378,106.3,111.63,2010,4,6,1,2,0.8660254037844387,-0.4999999999999998
2010-04-07,111.85,112.93,111.77,112.49,19127617.0,109.0035,108.48532000000002,109.44392501747605,60.59941520467833,0.5116122634545093,0.0891970883657167,0.42241517508879256,111.03,10321993.0,110.89,8207564.0,110.26,11370417.0,107.97,9816459.0,108.59,17433561.0,110.04857142857144,1.5753351873112917,107.97,112.49,109.05,1.7381909251596932,106.3,112.49,109.28293333333333,1.4811375622003624,106.3,112.49,2010,4,7,2,2,0.8660254037844387,-0.4999999999999998
2010-04-08,112.47,112.98,112.13,112.65,12444414.0,109.2125,108.58712,109.74926549200214,58.82352941176471,0.6989628046177643,0.21115023161612623,0.48781257300163805,112.49,19127617.0,111.03,10321993.0,110.89,8207564.0,108.95,13996074.0,108.75,11526946.0,110.60571428571428,1.7223226289216074,107.97,112.65,109.215,1.964918279764749,106.3,112.65,109.45926666666668,1.5572516447438307,106.3,112.65,2010,4,8,3,2,0.8660254037844387,-0.4999999999999998
2010-04-09,113.09,114.07,112.74,113.64,16427638.0,109.4645,108.72936000000001,110.11981163562099,72.29617304492513,0.9167563875277978,0.35227146279846056,0.5644849247293372,112.65,12444414.0,112.49,19127617.0,111.03,10321993.0,110.26,11370417.0,107.97,9816459.0,111.41571428571429,1.6054890962244193,108.95,113.64,109.59785714285714,2.2675984537065954,106.3,113.64,109.63693333333332,1.717422907637497,106.3,113.64,2010,4,9,4,2,0.8660254037844387,-0.4999999999999998
2010-04-12,113.64,114.13,112.98,113.01,11118097.0,109.7175,108.85995999999999,110.39506767032375,71.69966996699674,1.026688609038203,0.48715489204640905,0.539533716991794,113.64,16427638.0,112.65,12444414.0,112.49,19127617.0,110.89,8207564.0,108.95,13996074.0,111.99571428571429,1.2631159506404084,110.26,113.64,109.97357142857143,2.371269076458177,106.3,113.64,109.75626666666668,1.8236402196087294,106.3,113.64,2010,4,12,0,2,0.8660254037844387,-0.4999999999999998
2010-04-13,113.12,113.16,112.06,112.69,10983964.0,109.934,108.99456,110.61363265410245,68.407750631845,1.0755906217994635,0.60484203799702,0.47074858380244355,113.01,11118097.0,113.64,16427638.0,112.65,12444414.0,111.03,10321993.0,110.26,11370417.0,112.34285714285716,1.0164105844543434,110.89,113.64,110.28571428571429,2.423896146181246,106.3,113.64,109.86493333333334,1.8990953732715636,106.3,113.64,2010,4,13,1,2,0.8660254037844387,-0.4999999999999998
