Date,Open,High,Low,Close,Volume
2010-01-14,111.51,112.37,110.79,112.03,18305238.0
2010-01-15,111.35,112.01,110.38,110.86,18000724.0
2010-01-19,110.95,111.75,110.83,111.52,10467927.0
2010-01-20,109.97,110.05,108.46,108.94,17534231.0
2010-01-21,108.48,108.78,106.61,107.37,25747831.0
2010-01-22,106.93,107.68,106.01,107.17,24209966.0
2010-01-25,107.44,107.72,107.07,107.48,13170442.0
2010-01-26,106.87,107.99,106.75,107.56,12274165.0
2010-01-27,107.53,108.8,106.16,106.528,18991219.0
2010-01-28,107.18,107.23,105.18,106.48,16792253.0
2010-01-29,105.88,106.3,105.27,105.96,20278800.0
2010-02-01,106.64,108.48,106.37,108.35,14872885.0
2010-02-02,109.16,109.6,108.61,109.13,14292066.0
2010-02-03,109.1,109.54,108.4305,108.7,13376745.0
2010-02-04,106.79,106.8,103.75,104.37,39962209.0
2010-02-05,103.76,104.68,102.28,104.68,32656665.0
2010-02-08,104.41,105.14,104.0,104.04,17176296.0
2010-02-09,105.18,106.15,104.87,105.41,25959174.0
2010-02-10,105.13,105.5,104.11,105.12,16214398.0
2010-02-11,105.58,107.56,105.27,107.13,19332173.0
2010-02-12,106.08,107.1,105.57,107.04,14464157.0
2010-02-16,109.45,109.87,109.1,109.62,20894637.0
2010-02-17,109.66,110.01,108.87,109.25,19506091.0
2010-02-18,109.61,110.11,109.19,109.98,18988709.0
2010-02-19,109.3,110.39,108.81,109.47,21928676.0
2010-02-22,109.86,109.97,108.66,109.07,10742292.0
2010-02-23,108.84,108.91,107.65,107.89,13628999.0
2010-02-24,107.33,108.16,107.1,107.36,17176088.0
2010-02-25,106.7,108.7,106.6,108.31,23345653.0
2010-02-26,108.89,109.6,108.41,109.43,13033728.0
2010-03-01,109.48,109.9,108.97,109.43,12811556.0
2010-03-02,109.86,111.45,109.86,111.02,20102189.0
2010-03-03,111.46,112.18,111.1763,111.63,16194423.0
2010-03-04,111.25,111.37,110.22,110.83,12944030.0
2010-03-05,111.13,111.75,110.8,110.81,11091383.0
2010-03-08,111.22,111.3,109.52,109.88,12752302.0
2010-03-09,109.16,110.16,109.04,109.718,12649802.0
2010-03-10,109.94,110.5,108.02,108.47,21972932.0
2010-03-11,108.28,108.65,107.86,108.6,9516603.0
2010-03-12,108.56,108.77,107.45,107.95,11848993.0
2010-03-15,108.16,108.56,107.82,108.36,7698073.0
2010-03-16,110.02,110.57,109.7,110.4,17748979.0
2010-03-17,110.18,110.46,109.55,109.59,13784291.0
2010-03-18,110.1,110.61,109.5,110.34,13848221.0
2010-03-19,110.26,110.29,107.85,108.28,24328131.0
2010-03-22,107.31,108.0,106.95,107.75,11579075.0
2010-03-23,107.5,108.5,107.34,108.32,11273395.0
2010-03-24,106.94,107.07,106.24,106.3,14235437.0
2010-03-25,107.0,107.25,106.48,106.78,16863466.0
2010-03-26,107.16,108.7,106.82,108.59,17433561.0
2010-03-29,108.87,109.17,108.4,108.75,11526946.0
2010-03-30,108.57,108.6615,107.87,107.97,9816459.0
2010-03-31,109.44,109.5,108.85,108.95,13996074.0
2010-04-01,109.97,110.47,109.92,110.26,11370417.0
2010-04-05,110.56,110.9837,110.27,110.89,8207564.0
2010-04-06,110.89,111.51,110.83,111.03,10321993.0
2010-04-07,111.85,112.93,111.77,112.49,19127617.0
2010-04-08,112.47,112.98,112.13,112.65,12444414.0
2010-04-09,113.09,114.07,112.74,113.64,16427638.0
2010-04-12,113.64,114.13,112.98,113.01,11118097.0
2010-04-13,113.12,113.16,112.06,112.69,10983964.0
2010-04-14,113.23,113.66,112.78,113.03,10573838.0
2010-04-15,112.9,113.71,112.85,113.65,10952007.0
2010-04-16,112.5,113.07,110.54,111.24,24573703.0
2010-04-19,110.8801,111.36,110.67,111.15,7992945.0
2010-04-20,111.73,112.21,111.33,111.46,7019709.0
2010-04-21,111.82,112.64,111.48,112.31,6842860.0
2010-04-22,111.79,112.01,110.76,111.84,9595888.0
2010-04-23,111.26,113.3,111.09,113.19,12505783.0
2010-04-26,112.88,113.2,112.63,112.75,8335304.0
2010-04-27,112.43,114.82,112.34,114.63,25029675.0
2010-04-28,114.63,114.99,113.63,114.31,26887493.0
2010-04-29,113.85,114.52,113.84,114.28,10372696.0
2010-04-30,115.26,115.7,115.21,115.36,13402990.0
2010-05-03,115.91,116.28,115.53,115.73,13567838.0
2010-05-04,116.39,116.43,114.17,114.87,21511407.0
2010-05-05,113.58,115.24,113.312,115.09,21600198.0
2010-05-06,115.62,118.62,115.57,118.486,50461171.0
2010-05-07,117.64,118.88,116.74,118.27,34271876.0
2010-05-10,117.5,117.9,116.8101,117.57,28412585.0
2010-05-11,119.46,120.87,118.97,120.656,36666611.0
2010-05-12,121.28,122.235,120.7685,121.4,32634048.0
2010-05-13,121.29,121.71,120.1,120.56,22315901.0
2010-05-14,121.88,122.02,119.12,120.37,34643090.0
2010-05-17,120.55,121.12,119.29,119.36,27849317.0
2010-05-18,118.86,120.32,118.5,119.49,26455986.0
2010-05-19,118.19,118.43,116.08,116.63,34384210.0
2010-05-20,116.14,116.95,115.18,115.84,28877369.0
2010-05-21,115.05,116.24,114.51,115.22,20082971.0
2010-05-24,116.34,117.17,116.04,116.84,14295493.0
2010-05-25,117.16,117.52,116.82,117.36,21218157.0
2010-05-26,118.58,119.08,118.32,118.47,13138576.0
2010-05-27,118.16,119.038,118.14,118.69,10412960.0
2010-05-28,118.48,118.9,117.63,118.881,11578891.0
2010-06-01,119.88,120.25,119.63,119.91,12176717.0
2010-06-02,119.35,119.88,118.72,119.78,10339044.0
2010-06-03,119.16,119.39,117.48,117.96,13855163.0
2010-06-04,117.96,119.39,117.05,119.19,16532333.0
2010-06-07,118.73,121.8,118.62,121.49,20231596.0
2010-06-08,121.61,122.45,120.66,121.0025,23400996.0
2010-06-09,120.48,120.99,119.51,120.56,12866478.0
2010-06-10,119.36,120.04,118.83,118.975,13675071.0
2010-06-11,119.88,120.41,119.33,120.01,7829320.0
2010-06-14,119.63,120.26,118.96,119.6,10988560.0
2010-06-15,119.71,121.03,119.48,120.99,15070733.0
2010-06-16,120.68,120.89,120.04,120.33,10498592.0
2010-06-17,121.6398,122.41,121.49,121.9,19790690.0
2010-06-18,123.04,123.5,122.81,122.83,19429697.0
2010-06-21,123.09,123.11,120.36,120.39,20001871.0
2010-06-22,121.16,121.59,120.87,121.45,12937595.0
2010-06-23,120.89,121.02,119.77,120.95,14119994.0
2010-06-24,120.76,122.1601,120.67,121.3,13122710.0
2010-06-25,122.75,123.13,122.49,122.76,9986564.0
2010-06-28,122.79,123.56,120.81,121.09,19647916.0
2010-06-29,121.05,121.82,119.03,121.27,17317746.0
2010-06-30,121.07,122.09,120.88,121.68,11980059.0
2010-07-01,120.91,121.03,116.98,117.04,33228085.0
2010-07-02,118.21,118.5,117.41,118.49,14729648.0
2010-07-06,117.6698,117.72,116.3,116.51,16845366.0
2010-07-07,116.57,117.78,116.5,117.73,10927517.0
2010-07-08,117.39,117.41,116.1,117.21,11310778.0
2010-07-09,118.14,118.73,118.0,118.36,9596697.0
2010-07-12,117.83,118.2,116.97,117.34,7502255.0
2010-07-13,118.98,119.1,118.36,118.36,8416028.0
2010-07-14,118.26,119.13,117.59,118.3,9573380.0
2010-07-15,118.59,118.7,117.73,118.23,8586363.0
2010-07-16,116.69,116.79,115.95,116.67,17493011.0
2010-07-19,115.57,115.8041,115.11,115.73,15712029.0
2010-07-20,115.75,116.74,115.48,116.65,9251882.0
2010-07-21,116.8,117.0,115.71,115.85,9396016.0
2010-07-22,115.95,117.5,115.91,116.863,8159175.0
2010-07-23,117.12,117.47,115.79,116.09,8336529.0
2010-07-26,116.38,116.47,115.3,115.52,11213045.0
2010-07-27,114.95,114.99,113.21,113.51,29523426.0
2010-07-28,113.48,113.93,113.08,113.78,16071445.0
2010-07-29,113.54,114.35,113.34,114.288,9476248.0
2010-07-30,114.36,115.73,114.08,115.49,10093137.0
2010-08-02,116.12,116.39,115.2,115.54,8452177.0
2010-08-03,115.88,116.44,115.81,115.99,5579073.0
2010-08-04,117.41,117.65,116.65,116.72,10322481.0
2010-08-05,117.01,117.1,116.35,116.98,7022319.0
2010-08-06,117.99,118.42,117.49,117.84,10000856.0
2010-08-09,117.76,117.85,117.23,117.4,6750535.0
2010-08-10,116.59,118.09,116.4,117.73,10431789.0
2010-08-11,117.74,118.14,116.58,117.34,12387514.0
2010-08-12,118.56,118.86,118.46,118.77,12312125.0
2010-08-13,118.82,118.89,118.36,118.74,10213130.0
2010-08-16,119.7,119.825,119.46,119.73,8947727.0
2010-08-17,119.75,119.97,119.6,119.75,9109248.0
2010-08-18,119.23,120.51,119.0,120.22,12098953.0
